gene	len_aa	Pfam	R	KO
pmm:PMM0401	214	BPL_LplA_LipB	R07766	K03801
pmm:PMM0401	214	BPL_LplA_LipB	R07769	K03801
pmm:PMM0402	641	AMP-binding	R01280	K01897
pmm:PMM0405	455	2-oxoacid_dh Biotin_lipoyl E3_binding MadL	R00209	K00627
pmm:PMM0405	455	2-oxoacid_dh Biotin_lipoyl E3_binding MadL	R02569	K00627
pmm:PMM0407	328	PALP Fe-ADH_2 GSH-S_N	R00897	K01738
pmm:PMM0407	328	PALP Fe-ADH_2 GSH-S_N	R03601	K01738
pmm:PMM0407	328	PALP Fe-ADH_2 GSH-S_N	R04859	K01738
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R00999	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R01288	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R02508	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R03217	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R03260	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R04944	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R04945	K01739
pmm:PMM0408	489	Cys_Met_Meta_PP DUF257	R04946	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R00999	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R01288	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R02508	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R03217	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R03260	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R04944	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R04945	K01739
pmm:PMM0409	387	Cys_Met_Meta_PP Aminotran_1_2 GDC-P	R04946	K01739
pmm:PMM0413	511	Mur_ligase_M Mur_ligase_C Mur_ligase RNA_binding	R02788	K01928
pmm:PMM0419	475	Mqo DAO	R00360	K00116
pmm:PMM0419	475	Mqo DAO	R00361	K00116
pmm:PMM0419	475	Mqo DAO	R01257	K00116
pmm:PMM0428	315	UbiA	R06284	K04040
pmm:PMM0428	315	UbiA	R09067	K04040
pmm:PMM0428	315	UbiA	R11514	K04040
pmm:PMM0428	315	UbiA	R11517	K04040
pmm:PMM0430	255	His_biosynth NMO TMP-TENI DHO_dh Dus IMPDH G3P_antiterm ThiG	R04558	K02500
pmm:PMM0431	233	Ubie_methyltran Methyltransf_31 Methyltransf_25 Methyltransf_12 Methyltransf_23 MTS Methyltransf_11 Methyltransf_32 PCMT CAT_RBD Methyltr_RsmB-F NodS	R04994	K23095
pmm:PMM0433	249	BPL_LplA_LipB Pro-NT_NN	R01074	K03524
pmm:PMM0433	249	BPL_LplA_LipB Pro-NT_NN	R05145	K03524
pmm:PMM0435	506	Proton_antipo_M	R11945	K05573
pmm:PMM0442	219	Lum_binding	R00066	K00793
pmm:PMM0444	200	COX3	R00081	K02276
pmm:PMM0445	541	COX1	R00081	K02274
pmm:PMM0446	267	COX2_TM COX2 Cupredoxin_1 FixQ DUF3810 DUF4149	R00081	K02275
pmm:PMM0447	311	COX15-CtaA	R07412	K02259
pmm:PMM0448	332	UbiA Humanin	R07411	K02257
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04533	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04534	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04536	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04543	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04566	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04953	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R04964	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R07759	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R07763	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R10116	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R10120	K00059
pmm:PMM0453	249	adh_short_C2 adh_short KR Epimerase THF_DHG_CYH_C 2-Hacid_dh_C	R11671	K00059
pmm:PMM0454	223	IspD NTP_transf_3 DDR_swiveling CTP_transf_3	R05633	K00991
pmm:PMM0456	295	UbiA	R05000	K03179
pmm:PMM0456	295	UbiA	R05615	K03179
pmm:PMM0457	532	Ppx-GppA HD FtsA	R03409	K01524
pmm:PMM0459	251	TP_methylase Radical_SAM	R05181	K05936
pmm:PMM0459	251	TP_methylase Radical_SAM	R05810	K05936
pmm:PMM0462	178	CytB6-F_Fe-S Rieske	R03817	K02636
pmm:PMM0462	178	CytB6-F_Fe-S Rieske	R08409	K02636
pmm:PMM0467	184	Guanylate_kin AAA_18 AAA_33 Rad17 AAA_16 AAA_22 RsgA_GTPase MMR_HSR1 NTPase_1 AAA_28 AAA_14 AAA_29 ATPase_2 cobW AAA_24 AAA_7 ABC_tran	R00332	K00942
pmm:PMM0467	184	Guanylate_kin AAA_18 AAA_33 Rad17 AAA_16 AAA_22 RsgA_GTPase MMR_HSR1 NTPase_1 AAA_28 AAA_14 AAA_29 ATPase_2 cobW AAA_24 AAA_7 ABC_tran	R02090	K00942
pmm:PMM0470	356	Peptidase_M22 Carbam_trans_N PTSIIB_sorb LCIB_C_CA	R10648	K01409
pmm:PMM0473	478	tRNA-synt_1c	R05578	K01885
pmm:PMM0478	237	adh_short Epimerase RmlD_sub_bind 2-Hacid_dh_C NmrA	R11080	K20024
pmm:PMM0483	433	Aminotran_3	R02272	K01845
pmm:PMM0487	407	DUF111	R11921	K09121
pmm:PMM0491	96	Pterin_4a	R04734	K01724
pmm:PMM0495	316	Porphobil_deam Porphobil_deamC	R00084	K01749
pmm:PMM0499	284	AA_kinase	R02649	K00930
pmm:PMM0503	269	CbiJ Epimerase	R05150	K05895
pmm:PMM0503	269	CbiJ Epimerase	R05812	K05895
pmm:PMM0506	436	Adenylsucc_synt	R01135	K01939
pmm:PMM0508	600	tRNA-synt_2b HGTP_anticodon tRNA_edit	R03661	K01881
pmm:PMM0514	417		R01993	K01465
pmm:PMM0515	442	His_Phos_1 TadF	R00582	K22305
pmm:PMM0519	333	TAL_FSA CheX	R01827	K00616
pmm:PMM0522	234	AA_kinase	R00158	K09903
pmm:PMM0523	231	CobA_CobO_BtuR Co_AT_N TniB	R01492	K19221
pmm:PMM0523	231	CobA_CobO_BtuR Co_AT_N TniB	R05220	K19221
pmm:PMM0523	231	CobA_CobO_BtuR Co_AT_N TniB	R07268	K19221
pmm:PMM0525	391	Ferrochelatase CbiX Chloroa_b-bind	R00310	K01772
pmm:PMM0525	391	Ferrochelatase CbiX Chloroa_b-bind	R11329	K01772
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R00006	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R00014	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R00226	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R03050	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R04672	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R04673	K01652
pmm:PMM0526	587	TPP_enzyme_N TPP_enzyme_M TPP_enzyme_C POR_N	R08648	K01652
pmm:PMM0531	265	Creatininase	R01884	K01470
pmm:PMM0534	335	ACCA Carboxyl_trans ECH_1 Frataxin_Cyay CHASE3	R00742	K01962
pmm:PMM0534	335	ACCA Carboxyl_trans ECH_1 Frataxin_Cyay CHASE3	R04386	K01962
pmm:PMM0536	246	GTP_cyclohydroI HSCB_C	R00428	K01495
pmm:PMM0536	246	GTP_cyclohydroI HSCB_C	R04639	K01495
pmm:PMM0536	246	GTP_cyclohydroI HSCB_C	R05046	K01495
pmm:PMM0536	246	GTP_cyclohydroI HSCB_C	R05048	K01495
pmm:PMM0537	220	PRAI Repressor_Mnt	R03509	K01817
pmm:PMM0539	223	BPL_LplA_LipB	R07770	K03800
pmm:PMM0539	223	BPL_LplA_LipB	R07771	K03800
pmm:PMM0539	223	BPL_LplA_LipB	R11143	K03800
pmm:PMM0542	334	adh_short adh_short_C2 KR Epimerase GDP_Man_Dehyd Polysacc_synt_2 Methyltransf_31	R03845	K00218
pmm:PMM0542	334	adh_short adh_short_C2 KR Epimerase GDP_Man_Dehyd Polysacc_synt_2 Methyltransf_31	R06286	K00218
pmm:PMM0543	295	Fer4_NifH AAA_31 CbiA ArsA_ATPase ParA AAA_24 MeaB SRP54 MipZ NB-ARC AAA_25 RNA_helicase CBP_BcsQ PRK AAA_26 AAA_22	R06282	K04037
pmm:PMM0544	526	Oxidored_nitro PCP_red PTS_IIB	R06282	K04039
pmm:PMM0545	418	Oxidored_nitro	R06282	K04038
pmm:PMM0550	471	RuBisCO_large RuBisCO_large_N	R00024	K01601
pmm:PMM0550	471	RuBisCO_large RuBisCO_large_N	R03140	K01601
pmm:PMM0551	113	RuBisCO_small	R00024	K01602
pmm:PMM0551	113	RuBisCO_small	R03140	K01602
pmm:PMM0559	246	Lactamase_B HAGH_C Lactamase_B_2 Lactamase_B_3	R01736	K01069
pmm:PMM0560	215	HisG	R01071	K00765
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R03522	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07002	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07003	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07004	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07023	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07024	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07025	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07026	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07069	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07070	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07083	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07084	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07091	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07092	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07093	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07094	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07100	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07113	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R07116	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R08280	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R09409	K00799
pmm:PMM0566	412	GST_N_3 GST_N_2 GST_N_4 GST_N Glutaredoxin GST_C_5 GST_C_2	R11905	K00799
pmm:PMM0567	459	Pyr_redox_2 Pyr_redox_dim Pyr_redox Pyr_redox_3 HI0933_like Thi4 FAD_oxidored AlaDh_PNT_C GIDA FAD_binding_2 NAD_binding_8 Lycopene_cycl	R00094	K00383
pmm:PMM0567	459	Pyr_redox_2 Pyr_redox_dim Pyr_redox Pyr_redox_3 HI0933_like Thi4 FAD_oxidored AlaDh_PNT_C GIDA FAD_binding_2 NAD_binding_8 Lycopene_cycl	R00115	K00383
pmm:PMM0569	349	Amidohydro_1 Amidohydro_2	R01993	K01465
pmm:PMM0570	77	NdhL DUF3290	R11945	K05583
pmm:PMM0572	279	Trp_syntA His_biosynth NanE PcrB ThiG IGPS EHD_N NMO	R00674	K01695
pmm:PMM0572	279	Trp_syntA His_biosynth NanE PcrB ThiG IGPS EHD_N NMO	R02340	K01695
pmm:PMM0572	279	Trp_syntA His_biosynth NanE PcrB ThiG IGPS EHD_N NMO	R02722	K01695
pmm:PMM0578	221	PRA-CH PRA-PH MazG	R04035	K11755
pmm:PMM0578	221	PRA-CH PRA-PH MazG	R04037	K11755
pmm:PMM0583	346	URO-D Cas_Csm6 NanE	R03197	K01599
pmm:PMM0583	346	URO-D Cas_Csm6 NanE	R04972	K01599
pmm:PMM0584	754	CBM_48 Alpha-amylase_C Alpha-amylase Glyco_hydro_70	R02110	K00700
pmm:PMM0590	436	Aldedh	R03313	K00147
pmm:PMM0591	120	FolB SWI2_SNF2	R03504	K01633
pmm:PMM0591	120	FolB SWI2_SNF2	R11037	K01633
pmm:PMM0591	120	FolB SWI2_SNF2	R11073	K01633
pmm:PMM0592	197	Palm_thioest DUF676 Abhydrolase_1 Lipase_2 PGAP1 DUF915 Hydrolase_4	R02250	K01046
pmm:PMM0592	197	Palm_thioest DUF676 Abhydrolase_1 Lipase_2 PGAP1 DUF915 Hydrolase_4	R02687	K01046
pmm:PMM0594	494	Proton_antipo_M Oxidored_q5_N DUF3098	R11945	K05575
pmm:PMM0595	315	GHMP_kinases_N GHMP_kinases_C	R01771	K00872
pmm:PMM0596	345	Glucokinase ROK	R00299	K00845
pmm:PMM0596	345	Glucokinase ROK	R01600	K00845
pmm:PMM0596	345	Glucokinase ROK	R01786	K00845
pmm:PMM0597	638	tRNA-synt_2b tRNA_SAD HGTP_anticodon TGS	R03663	K01868
pmm:PMM0598	338	tRNA-synt_1b	R03664	K01867
pmm:PMM0607	588	TPP_enzyme_N TPP_enzyme_C TPP_enzyme_M_2	R08165	K02551
pmm:PMM0608	285	ECH_1 ECH_2 SDH_sah	R07263	K01661
pmm:PMM0609	483	Glyco_transf_5 Glycos_transf_1 Glyco_transf_4 Glyco_trans_4_4 Glyco_trans_1_4	R02421	K00703
pmm:PMM0610	456	Mur_ligase_M Mur_ligase Mur_ligase_C	R04573	K01929
pmm:PMM0610	456	Mur_ligase_M Mur_ligase Mur_ligase_C	R04617	K01929
pmm:PMM0611	449	Hexapep NTP_transf_3 NTP_transferase Hexapep_2 IspD CofC CTP_transf_3 Fucokinase zf-H2C2	R00416	K04042
pmm:PMM0611	449	Hexapep NTP_transf_3 NTP_transferase Hexapep_2 IspD CofC CTP_transf_3 Fucokinase zf-H2C2	R05332	K04042
pmm:PMM0613	438	EPSP_synthase	R03460	K00800
pmm:PMM0614	207	2-ph_phosp Mesd	R05789	K05979
pmm:PMM0615	275	CN_hydrolase	R12024	K11206
pmm:PMM0616	362	Amidase_3 FeoB_N	R04112	K01448
pmm:PMM0617	264	Asp_Glu_race DUF5461	R00260	K01776
pmm:PMM0618	323	polyprenyl_synt HEPPP_synt_1	R07267	K05356
pmm:PMM0618	323	polyprenyl_synt HEPPP_synt_1	R09250	K05356
pmm:PMM0618	323	polyprenyl_synt HEPPP_synt_1	R09251	K05356
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R00235	K01895
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R00236	K01895
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R00316	K01895
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R00925	K01895
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R00926	K01895
pmm:PMM0619	660	AMP-binding AMP-binding_C ACAS_N TSP_NTD	R01354	K01895
pmm:PMM0623	429	tRNA-synt_His tRNA-synt_2b HGTP_anticodon tRNA-synt_2 tRNA-synt_2d	R03655	K01892
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R03522	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07002	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07003	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07004	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07023	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07024	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07025	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07026	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07069	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07070	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07083	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07084	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07091	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07092	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07093	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07094	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07100	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07113	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R07116	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R08280	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R09409	K00799
pmm:PMM0630	219	GST_N_3 GST_N_2 GST_C_2 GST_N GST_C_3 GST_C Glutaredoxin	R11905	K00799
pmm:PMM0633	427	Lycopene_cycl Pyr_redox_2 Pyr_redox_3 HI0933_like GIDA NAD_binding_8 Thi4 NAD_binding_9 Trp_halogenase FAD_binding_2 FAD_binding_3	R06960	K06444
pmm:PMM0633	427	Lycopene_cycl Pyr_redox_2 Pyr_redox_3 HI0933_like GIDA NAD_binding_8 Thi4 NAD_binding_9 Trp_halogenase FAD_binding_2 FAD_binding_3	R06963	K06444
pmm:PMM0633	427	Lycopene_cycl Pyr_redox_2 Pyr_redox_3 HI0933_like GIDA NAD_binding_8 Thi4 NAD_binding_9 Trp_halogenase FAD_binding_2 FAD_binding_3	R07840	K06444
pmm:PMM0634	333	adh_short adh_short_C2	R03845	K00218
pmm:PMM0634	333	adh_short adh_short_C2	R06286	K00218
pmm:PMM0642	442	Cys_Met_Meta_PP DegT_DnrJ_EryC1 Aminotran_5 Aminotran_1_2 GDC-P Met_gamma_lyase	R01287	K01740
pmm:PMM0642	442	Cys_Met_Meta_PP DegT_DnrJ_EryC1 Aminotran_5 Aminotran_1_2 GDC-P Met_gamma_lyase	R04859	K01740
pmm:PMM0643	296	HTS	R01776	K00651
pmm:PMM0643	296	HTS	R01777	K00651
pmm:PMM0653	129	Glyoxalase Glyoxalase_4 Glyoxalase_2 CppA_N Anp1	R02530	K01759
pmm:PMM0659	249	DNA_ligase_aden	R00382	K01972
pmm:PMM0661	802	Ribonuc_red_lgC RNR_Alpha AdoMetDC_leader	R02017	K00524
pmm:PMM0661	802	Ribonuc_red_lgC RNR_Alpha AdoMetDC_leader	R02018	K00524
pmm:PMM0661	802	Ribonuc_red_lgC RNR_Alpha AdoMetDC_leader	R02019	K00524
pmm:PMM0661	802	Ribonuc_red_lgC RNR_Alpha AdoMetDC_leader	R02024	K00524
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R00355	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R00694	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R00734	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R00896	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R02433	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R02619	K00812
pmm:PMM0674	393	Aminotran_1_2 DegT_DnrJ_EryC1 Aminotran_5 Cys_Met_Meta_PP OKR_DC_1 Met_gamma_lyase Beta_elim_lyase	R05052	K00812
pmm:PMM0676	405	GcpE Thioredoxin_6	R08689	K03526
pmm:PMM0676	405	GcpE Thioredoxin_6	R10859	K03526
pmm:PMM0678	304	NadA Rota_NS26	R04292	K03517
pmm:PMM0682	363	DHQ_synthase Fe-ADH_2 Fe-ADH	R03083	K01735
pmm:PMM0683	396	ATP-grasp PurK_C ATP-grasp_3 F420_oxidored PTS_IIB LpxI_N Pyr_redox SIS	R07404	K01589
pmm:PMM0713	340	Gp_dh_C Gp_dh_N DapB_N Semialdhyde_dhC	R01061	K00134
pmm:PMM0729	545	DNA_ligase_A_M DNA_ligase_A_N DNA_ligase_A_C RNA_ligase mRNA_cap_enzyme HARE-HTH	R00381	K10747
pmm:PMM0729	545	DNA_ligase_A_M DNA_ligase_A_N DNA_ligase_A_C RNA_ligase mRNA_cap_enzyme HARE-HTH	R00382	K10747
pmm:PMM0729	545	DNA_ligase_A_M DNA_ligase_A_N DNA_ligase_A_C RNA_ligase mRNA_cap_enzyme HARE-HTH	R10822	K10747
pmm:PMM0729	545	DNA_ligase_A_M DNA_ligase_A_N DNA_ligase_A_C RNA_ligase mRNA_cap_enzyme HARE-HTH	R10823	K10747
pmm:PMM0747	241	Fe_bilin_red	R05817	K05371
pmm:PMM0758	596	NIR_SIR NIR_SIR_ferr	R00859	K00392
pmm:PMM0758	596	NIR_SIR NIR_SIR_ferr	R03600	K00392
pmm:PMM0759	720	tRNA_synt_2f	R03654	K01879
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R02063	K10960
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R08754	K10960
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R08755	K10960
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R08756	K10960
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R11226	K10960
pmm:PMM0760	443	FAD_binding_3 DAO GIDA Pyr_redox_2 NAD_binding_8 Thi4 HI0933_like FAD_oxidored Trp_halogenase Pyr_redox DOT1 3HCDH_N	R11518	K10960
pmm:PMM0766	251	Ribul_P_3_epim His_biosynth IMPDH	R01529	K01783
pmm:PMM0767	333	FBPase_glpX	R00762	K11532
pmm:PMM0767	333	FBPase_glpX	R01845	K11532
pmm:PMM0767	333	FBPase_glpX	R04780	K11532
pmm:PMM0768	433	GlutR_N Shikimate_DH GlutR_dimer PA28_alpha ThiF	R04109	K02492
pmm:PMM0769	431	NTP_transferase NTP_transf_3 Fucokinase Glyoxalase_3	R00948	K00975
pmm:PMM0770	472	6PGD NAD_binding_2 Shikimate_DH F420_oxidored	R01528	K00033
pmm:PMM0770	472	6PGD NAD_binding_2 Shikimate_DH F420_oxidored	R10221	K00033
pmm:PMM0771	245	Glucosamine_iso	R02035	K01057
pmm:PMM0774	559	ILVD_EDD	R01209	K01687
pmm:PMM0774	559	ILVD_EDD	R04441	K01687
pmm:PMM0774	559	ILVD_EDD	R05070	K01687
pmm:PMM0776	205	UPRTase	R00966	K00761
pmm:PMM0779	83	PurS	R04463	K01952
pmm:PMM0780	221	GATase_5 GATase_3 DJ-1_PfpI SNO GATase	R04463	K01952
pmm:PMM0781	357	F_bP_aldolase	R01068	K01624
pmm:PMM0781	357	F_bP_aldolase	R01070	K01624
pmm:PMM0781	357	F_bP_aldolase	R01829	K01624
pmm:PMM0781	357	F_bP_aldolase	R02568	K01624
pmm:PMM0784	292	Carboxyl_trans zf-ACC OrfB_Zn_ribbon zinc_ribbon_5 zinc_ribbon_2 TF_Zn_Ribbon	R00742	K01963
